sp,cen_interval,tStart,tEnd,tCenInt,Nt0,Nt1,S_t1,M_t1,R_t1,site
alclat,1,1992-09-27,1995-12-21,3.23224043715847,1059,764,632,9.769347640780305e-4,3.020032525955504e-4,luq
alclat,2,1995-12-21,2001-06-25,5.50958904109589,764,571,403,5.233812491988913e-4,2.4356800516735105e-4,luq
alclat,3,2001-06-25,2006-08-14,5.136986301369863,571,329,310,4.000870956113817e-4,2.9125114239909013e-5,luq
alclat,4,2006-08-14,2011-11-09,5.237704918032787,329,217,212,1.6549053198069077e-4,7.072244956439776e-6,luq
alclat,5,2011-11-09,2016-05-20,4.527322404371585,217,168,165,7.963410739957483e-5,4.5942754268985484e-6,luq
alcflo,1,1992-09-27,1995-12-21,3.23224043715847,333,292,223,2.4281405342752076e-4,1.5231063351362666e-4,luq
alcflo,2,1995-12-21,2001-06-25,5.50958904109589,292,207,143,2.2179583504248806e-4,9.526800968267943e-5,luq
alcflo,3,2001-06-25,2006-08-14,5.136986301369863,207,150,140,9.483684222526285e-5,1.4154752570934753e-5,luq
alcflo,4,2006-08-14,2011-11-09,5.237704918032787,150,103,101,6.818654809299676e-5,2.783124411959051e-6,luq
alcflo,5,2011-11-09,2016-05-20,4.527322404371585,103,97,91,1.737450514624088e-5,8.68725257312044e-6,luq
andine,1,1992-09-27,1995-12-21,3.23224043715847,160,154,150,1.9769093731311747e-5,7.907637492524698e-6,luq
andine,2,1995-12-21,2001-06-25,5.50958904109589,154,159,151,3.43061376008493e-6,9.14830336022648e-6,luq
andine,3,2001-06-25,2006-08-14,5.136986301369863,159,157,155,4.916725667684928e-6,2.458362833842464e-6,luq
andine,4,2006-08-14,2011-11-09,5.237704918032787,157,142,142,1.8633605097754383e-5,0,luq
andine,5,2011-11-09,2016-05-20,4.527322404371585,142,135,135,9.854742026304145e-6,0,luq
artalt,1,1992-09-27,1995-12-21,3.23224043715847,23,23,22,1.963406660522223e-6,1.963406660522223e-6,luq
artalt,2,1995-12-21,2001-06-25,5.50958904109589,23,37,14,1.2386075548914113e-5,3.165330418055829e-5,luq
artalt,3,2001-06-25,2006-08-14,5.136986301369863,37,30,26,1.5349680911392847e-5,5.581702149597399e-6,luq
artalt,4,2006-08-14,2011-11-09,5.237704918032787,30,23,23,9.274444206980682e-6,0,luq
artalt,5,2011-11-09,2016-05-20,4.527322404371585,23,17,17,9.284515534701049e-6,0,luq
buctet,1,1992-09-27,1995-12-21,3.23224043715847,201,194,188,2.5720161954086343e-5,1.1870843978809082e-5,luq
buctet,2,1995-12-21,2001-06-25,5.50958904109589,194,203,177,2.0015310374135356e-5,3.061165116044231e-5,luq
buctet,3,2001-06-25,2006-08-14,5.136986301369863,203,203,195,9.891555395629217e-6,9.891555395629217e-6,luq
buctet,4,2006-08-14,2011-11-09,5.237704918032787,203,184,183,2.487733409566064e-5,1.243866704783032e-6,luq
buctet,5,2011-11-09,2016-05-20,4.527322404371585,184,170,168,2.2877420894643663e-5,2.859677611830458e-6,luq
byrspi,1,1992-09-27,1995-12-21,3.23224043715847,370,405,326,8.882869250053791e-5,1.5948787971687488e-4,luq
byrspi,2,1995-12-21,2001-06-25,5.50958904109589,405,481,311,1.184697745397868e-4,2.1425384757195486e-4,luq
byrspi,3,2001-06-25,2006-08-14,5.136986301369863,481,400,378,1.3776496020536093e-4,2.9425525480756707e-5,luq
byrspi,4,2006-08-14,2011-11-09,5.237704918032787,400,308,298,1.3663031719111818e-4,1.3395129136384135e-5,luq
byrspi,5,2011-11-09,2016-05-20,4.527322404371585,308,258,251,8.507769419425149e-5,1.044813788350457e-5,luq
byrwad,1,1992-09-27,1995-12-21,3.23224043715847,32,35,31,1.9548843799811258e-6,7.819537519924503e-6,luq
byrwad,2,1995-12-21,2001-06-25,5.50958904109589,35,32,31,4.765770480619183e-6,1.1914426201547956e-6,luq
byrwad,3,2001-06-25,2006-08-14,5.136986301369863,32,30,29,3.796111556897608e-6,1.2653705189658693e-6,luq
byrwad,4,2006-08-14,2011-11-09,5.237704918032787,30,25,25,6.41447945043188e-6,0,luq
byrwad,5,2011-11-09,2016-05-20,4.527322404371585,25,22,22,4.350166791528172e-6,0,luq
calcal,1,1992-09-27,1995-12-21,3.23224043715847,68,60,58,2.0408762028330582e-5,4.0817524056661165e-6,luq
calcal,2,1995-12-21,2001-06-25,5.50958904109589,60,72,51,1.0899999187059833e-5,2.5433331436472944e-5,luq
calcal,3,2001-06-25,2006-08-14,5.136986301369863,72,79,69,3.712820740386241e-6,1.2376069134620803e-5,luq
calcal,4,2006-08-14,2011-11-09,5.237704918032787,79,75,69,1.2594983861053415e-5,7.556990316632049e-6,luq
calcal,5,2011-11-09,2016-05-20,4.527322404371585,75,71,65,1.4584665780533397e-5,8.750799468320037e-6,luq
casarb,1,1992-09-27,1995-12-21,3.23224043715847,3776,3497,3158,0.0012695361851573377,6.963960627319377e-4,luq
casarb,2,1995-12-21,2001-06-25,5.50958904109589,3497,4263,2873,7.659547339713462e-4,0.0017062132695836079,luq
casarb,3,2001-06-25,2006-08-14,5.136986301369863,4263,4029,3701,7.232397091071758e-4,4.221043142120172e-4,luq
casarb,4,2006-08-14,2011-11-09,5.237704918032787,4029,3477,3305,9.345324771602814e-4,2.2201600286128232e-4,luq
casarb,5,2011-11-09,2016-05-20,4.527322404371585,3477,3035,2862,9.145199748634402e-4,2.5725521244126045e-4,luq
cassyl,1,1992-09-27,1995-12-21,3.23224043715847,1823,1806,1530,6.011987720600228e-4,5.663169320428884e-4,luq
