sp,FRUIT_DRY,N_SEEDFULL,DSPR_DRY,DRY_MASS
abutra,0.385726667,1,0.177256667,0.385726667
acacha,NA,NA,NA,NA
acacme,NA,NA,NA,NA
acaldi,NA,NA,NA,NA
acalma,NA,NA,NA,NA
ade1tr,NA,NA,NA,NA
aegian,NA,NA,NA,NA
aegice,0.31418,3.2,0.0270375,0.31418
aegiel,0.245813333,3.2,0.021653889,0.245813333
aegipa,NA,NA,NA,NA
albigu,0.55276,5.6,0.024675,0.55276
albini,NA,NA,NA,NA
alchco,0.073746667,1.666666667,0.03016,0.073746667
alchla,NA,NA,NA,NA
alibed,1.64686,56.2,0.0137,1.64686
alloge,0.0834,1,0.06378,0.0834
allooc,NA,NA,NA,NA
allops,0.088488,1,0.042012,0.088488
alsebl,0.01264,22.88888889,9.76573e-5,0.01264
amaico,0.28084,17.2,0.00974,0.28084
amangu,NA,NA,NA,NA
amphpa,26.4886,91.66666667,0.073478125,26.4886
anacex,3.017855556,1,1.694455,3.017855556
anaxpa,NA,NA,NA,NA
andiin,4.341458889,1.15,1.293045,4.341458889
annoac,1.995133333,32.66666667,0.038183333,1.995133333
annogl,54.747385,175.85,0.18847875,54.747385
annoha,6.277047917,62.10416667,0.037234896,6.277047917
annopu,NA,NA,NA,NA
annosp,23.65814083,231.2805556,0.041702569,23.65814083
anthpa,NA,NA,0.12322,0.12322
antitr,0.027892,1,0.006295,0.027892
apeihy,NA,NA,NA,NA
apeime,6.63092,165.16,0.013083,6.63092
apeiti,8.338656667,634.1166667,0.00421625,8.338656667
aphesi,NA,NA,NA,NA
appuse,NA,NA,NA,NA
ardiba,0.052686667,1,0.042635,0.052686667
ardife,0.06904,1,0.03835,0.06904
ardigu,NA,NA,NA,NA
aristo,18.8125,821,0.009625,18.8125
arraca,NA,NA,0.01856,0.01856
arrafl,NA,NA,NA,NA
arrapa,3.464,53,0.011685,3.464
arrave,18.1337,13.6,0.10684,18.1337
aspicr,NA,NA,0.688575,0.688575
ast1st,10.170844,1,7.565884,10.170844
ast2gr,0.03622,1,0.0274,0.03622
bactba,NA,NA,NA,NA
bactc1,1.54269,1,0.29694,1.54269
bactc2,0.390306667,1,0.08261,0.390306667
bactma,6.58707,1,4.064125,6.58707
