sp4,ind.unique,fruit.unique,date,IND,fruit_frsh,fruit_dry,N_seedfull,N_seedempty,N_capsules,dspr_frsh,dspr_dry,seed_frsh,seed_dry,testa_dry,dsprfrsh_n,dsprdry_n,seedfrsh_n,seeddry_n,testadry_n,lugar,sp6,family,genus,species,lifeform
ABUD,1,1,20120104,1,3.9868,1.4826,1,0,NA,1.7863,0.9111,0.9317,0.6032,0.3072,1,1,1,1,1,unknown,ABUTDW,Menispermaceae,Abuta,dwyerana,L
ABUD,1,2,20120104,1,4.1977,1.4621,1,0,NA,1.9769,0.9269,1.0327,0.6688,0.2576,1,1,1,1,1,unknown,ABUTDW,Menispermaceae,Abuta,dwyerana,L
ABUD,1,3,20120104,1,3.9927,1.3798,1,0,NA,1.858,0.8717,0.9489,0.6253,0.2464,1,1,1,1,1,unknown,ABUTDW,Menispermaceae,Abuta,dwyerana,L
ABUD,2,1,20120111,1,4.5679,1.5782,1,0,NA,2.2013,1.0049,1.1033,0.7164,0.2875,1,1,1,1,1,unknown,ABUTDW,Menispermaceae,Abuta,dwyerana,L
ABUD,2,2,20120111,1,4.3223,1.5265,1,0,NA,2.0299,0.9753,1.0787,0.6983,0.2769,1,1,1,1,1,unknown,ABUTDW,Menispermaceae,Abuta,dwyerana,L
ABUD,3,1,20120111,2,3.8257,1.4187,1,0,NA,1.7982,0.8599,0.8877,0.5623,0.297,1,1,1,1,1,unknown,ABUTDW,Menispermaceae,Abuta,dwyerana,L
ABUD,3,2,20120111,2,3.4212,1.1746,1,0,NA,1.6087,0.7488,0.8022,0.5228,0.2254,1,1,1,1,1,unknown,ABUTDW,Menispermaceae,Abuta,dwyerana,L
ABUD,3,3,20120111,2,3.7783,1.3346,1,0,NA,1.7615,0.8472,0.9257,0.6058,0.2415,1,1,1,1,1,unknown,ABUTDW,Menispermaceae,Abuta,dwyerana,L
ABUD,3,4,20120111,2,3.3021,1.2116,1,0,NA,1.5411,0.7374,0.7992,0.4869,0.2501,1,1,1,1,1,unknown,ABUTDW,Menispermaceae,Abuta,dwyerana,L
ABUD,3,5,20120111,2,3.359,1.2495,1,0,NA,1.5805,0.7435,0.8231,0.5187,0.2241,1,1,1,1,1,unknown,ABUTDW,Menispermaceae,Abuta,dwyerana,L
ABUR,1,1,20000407,1,2.7097,0.3646,1,0,NA,0.7749,0.1912,0.0598,0.0043,0.1873,1,1,1,1,1,BCI,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,1,2,20000407,1,2.997,0.2957,1,0,NA,0.8432,0.1529,0.0926,0.0061,0.1472,1,1,1,1,1,BCI,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,1,3,20000407,1,2.7174,0.2787,1,0,NA,0.7112,0.1451,0.1168,0.0062,0.1395,1,1,1,1,1,BCI,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,1,4,20000407,1,2.1606,0.2707,1,0,NA,0.6021,0.1626,0.0843,0.0052,0.1578,1,1,1,1,1,BCI,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,1,5,20000407,1,2.5674,0.3667,1,0,NA,0.7271,0.2102,0.0943,0.0064,0.2043,1,1,1,1,1,BCI,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,2,1,20000506,2,2.5072,0.4241,1,0,NA,0.7096,0.2457,0.0812,0.0058,0.2404,1,1,1,1,1,Belbour14,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,2,2,20000506,2,1.3047,0.1811,1,0,NA,0.3541,0.0874,0.0368,0.0022,0.085,1,1,1,1,1,Belbour14,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,2,3,20000506,2,2.5424,0.4395,1,0,NA,0.7391,0.254,0.0679,0.0048,0.2496,1,1,1,1,1,Belbour14,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,2,4,20000506,2,1.6932,0.1748,1,0,NA,0.5257,0.0652,0.0548,0.0042,0.0618,1,1,1,1,1,Belbour14,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,2,5,20000506,2,2.2023,0.4206,1,0,NA,0.6881,0.2351,0.0679,0.0053,0.2302,1,1,1,1,1,Belbour14,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,3,1,20071208,3,2.1982,0.3345,1,0,NA,0.5926,0.1986,0.2026,0.095,0.103,1,1,1,1,1,BCI,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,3,2,20071208,3,2.3207,0.3597,1,0,NA,0.7377,0.2214,0.2351,0.1063,0.1145,1,1,1,1,1,BCI,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,3,3,20071208,3,2.4466,0.3754,1,0,NA,0.7865,0.2289,0.2262,0.1055,0.1231,1,1,1,1,1,BCI,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,4,1,20081127,3,2.2111,0.7661,1,0,0,1.0735,0.5303,0.5729,0.3488,0.181,1,1,1,1,1,BCI,ABUTRA,Menispermaceae,Abuta,racemosa,L
ABUR,4,2,20081127,3,1.8971,0.7337,1,0,NA,0.9642,0.5119,0.5408,0.3326,0.1793,1,1,1,1,1,BCI,ABUTRA,Menispermaceae,Abuta,racemosa,L
ACAG,1,1,20080423,1,2.6001,2.2063,7,2,1,0.1061,0.0871,0.0864,0.0721,0.015,1,1,1,1,1,BCI,NA,Fabaceae-Mimosoideae,Acacia,glauca,S
ACAG,1,1,20080423,1,2.6001,2.2063,7,2,1,0.0427,0.0348,0.0268,0.0226,0.0122,1,1,1,1,1,BCI,NA,Fabaceae-Mimosoideae,Acacia,glauca,S
ACAG,1,1,20080423,1,2.6001,2.2063,7,2,1,0.0881,0.0699,0.0711,0.0588,0.0114,1,1,1,1,1,BCI,NA,Fabaceae-Mimosoideae,Acacia,glauca,S
ACAG,1,1,20080423,1,2.6001,2.2063,7,2,1,0.0668,0.0535,0.0509,0.0419,0.0116,1,1,1,1,1,BCI,NA,Fabaceae-Mimosoideae,Acacia,glauca,S
ACAG,1,2,20080423,1,2.2576,1.9362,5,0,NA,0.1166,0.0972,0.0986,0.0832,0.0138,1,1,1,1,1,BCI,NA,Fabaceae-Mimosoideae,Acacia,glauca,S
ACAG,1,2,20080423,1,2.2576,1.9362,5,0,NA,0.1371,0.1137,0.1139,0.095,0.0176,1,1,1,1,1,BCI,NA,Fabaceae-Mimosoideae,Acacia,glauca,S
ACAG,1,2,20080423,1,2.2576,1.9362,5,0,NA,0.0948,0.0768,0.0749,0.0632,0.0138,1,1,1,1,1,BCI,NA,Fabaceae-Mimosoideae,Acacia,glauca,S
ACAG,1,2,20080423,1,2.2576,1.9362,5,0,NA,0.1367,0.1141,0.1163,0.0983,0.0157,1,1,1,1,1,BCI,NA,Fabaceae-Mimosoideae,Acacia,glauca,S
