site,year,var,value,units,sources
scbi,2016,R/L,0.115925514820181,-,
scbi,2017,R/L,0.241051194357264,-,
scbi,2018,R/L,1.29835852806808,-,
scbi,2019,R/L,0.220281995619222,-,
scbi,2020,R/L,0.177779591924768,-,
serc,2016,R/L,0.291255413098866,-,
serc,2017,R/L,0.241057472197166,-,
serc,2018,R/L,0.870872303679595,-,
serc,2019,R/L,0.282977646323822,-,
serc,2020,R/L,0.143490994013446,-,
BCI,2014,L,521.4,g m-2 y-1,
BCI,2015,L,553.8,g m-2 y-1,
BCI,2016,L,558.5,g m-2 y-1,
BCI,2017,L,493.5,g m-2 y-1,
BCI,2018,L,529.8,g m-2 y-1,
BCI,2014,R,241.71875,g m-2 y-1,
BCI,2015,R,202.3625,g m-2 y-1,
BCI,2016,R,279.884375,g m-2 y-1,
BCI,2017,R,289.44375,g m-2 y-1,
BCI,2018,R,172.475,g m-2 y-1,
BCI,2014,R/L,0.463595607978519,-,
BCI,2015,R/L,0.365407186710004,-,
BCI,2016,R/L,0.501135854968666,-,
BCI,2017,R/L,0.586512158054711,-,
BCI,2018,R/L,0.325547376368441,-,
BCI,1966-2000,ANPP,1800,g m-2 yr-1,
BCI,1966-2018,R/ANPP,0.131764930555556,-,
Luquillo,2003,L,38.385306122449,g m-2 y-1,
Luquillo,2004,L,40.5129795918367,g m-2 y-1,
Luquillo,2005,L,36.2838639455782,g m-2 y-1,
Luquillo,2006,L,35.7601088435374,g m-2 y-1,
Luquillo,2007,L,35.2944761904762,g m-2 y-1,
Luquillo,2008,L,36.8508299319728,g m-2 y-1,
Luquillo,2009,L,37.3086258503401,g m-2 y-1,
Luquillo,2010,L,35.2069659863946,g m-2 y-1,
Luquillo,2011,L,34.7389387755102,g m-2 y-1,
Luquillo,2012,L,34.9557551020408,g m-2 y-1,
Luquillo,2013,L,35.6037006802721,g m-2 y-1,
Luquillo,2014,L,37.8187755102041,g m-2 y-1,
Luquillo,2015,L,39.1649523809524,g m-2 y-1,
Luquillo,2016,L,37.2310204081633,g m-2 y-1,
Luquillo,2017,L,65.2399455782313,g m-2 y-1,
Luquillo,2018,L,8.85899319727891,g m-2 y-1,
Luquillo,2019,L,25.3136326530612,g m-2 y-1,
Luquillo,2003,R,10.1002448979592,g m-2 y-1,
Luquillo,2004,R,6.8065306122449,g m-2 y-1,
Luquillo,2005,R,9.59717006802721,g m-2 y-1,
Luquillo,2006,R,14.3215238095238,g m-2 y-1,
Luquillo,2007,R,6.91678911564626,g m-2 y-1,
Luquillo,2008,R,16.779537414966,g m-2 y-1,
Luquillo,2009,R,9.16702040816327,g m-2 y-1,
Luquillo,2010,R,6.30378231292517,g m-2 y-1,
Luquillo,2011,R,3.91466666666667,g m-2 y-1,
Luquillo,2012,R,8.5876462585034,g m-2 y-1,
Luquillo,2013,R,12.2493605442177,g m-2 y-1,
Luquillo,2014,R,9.43640816326531,g m-2 y-1,
Luquillo,2015,R,13.2017414965986,g m-2 y-1,
Luquillo,2016,R,11.8081088435374,g m-2 y-1,
Luquillo,2017,R,5.01137414965986,g m-2 y-1,
Luquillo,2018,R,1.90661224489796,g m-2 y-1,
Luquillo,2019,R,3.4836462585034,g m-2 y-1,
Luquillo,2003,R/L,0.263127897579856,-,
Luquillo,2004,R/L,0.168008640214071,-,
Luquillo,2005,R/L,0.264502426820415,-,
Luquillo,2006,R/L,0.400488820439147,-,
Luquillo,2007,R/L,0.195973700766033,-,
Luquillo,2008,R/L,0.455336757569403,-,
Luquillo,2009,R/L,0.245707800789444,-,
Luquillo,2010,R/L,0.179049291420374,-,
Luquillo,2011,R/L,0.112688147786091,-,
Luquillo,2012,R/L,0.245671885314302,-,
Luquillo,2013,R/L,0.344047397045022,-,
Luquillo,2014,R/L,0.24951649110689,-,
Luquillo,2015,R/L,0.337080494013807,-,
Luquillo,2016,R/L,0.317157808571596,-,
Luquillo,2017,R/L,0.076814505365437,-,
Luquillo,2018,R/L,0.215217711814429,-,
Luquillo,2019,R/L,0.137619373175273,-,
Luquillo,?,R,51,g m-2 yr-1,
Luquillo,?,ANPP,1050,g m-2 yr-1,
Luquillo,?,R/ANPP,0.048571428571429,-,
