site,year,var,value,units
BCI,2014,L,521.4,g m-2 y-1
BCI,2015,L,553.8,g m-2 y-1
BCI,2016,L,558.5,g m-2 y-1
BCI,2017,L,493.5,g m-2 y-1
BCI,2018,L,529.8,g m-2 y-1
BCI,2014,R,241.71875,g m-2 y-1
BCI,2015,R,202.3625,g m-2 y-1
BCI,2016,R,279.88437500000003,g m-2 y-1
BCI,2017,R,289.44375,g m-2 y-1
BCI,2018,R,172.475,g m-2 y-1
BCI,2014,R/L,0.4635956079785194,-
BCI,2015,R/L,0.36540718671000366,-
BCI,2016,R/L,0.5011358549686661,-
BCI,2017,R/L,0.5865121580547112,-
BCI,2018,R/L,0.32554737636844094,-
BCI,NA,R,237.17687500000002,g m-2 yr-1
BCI,NA,ANPP,1800,g m-2 yr-1
BCI,NA,R/ANPP,0.13176493055555558,-
