site,year,var,value,units
Luquillo,2003,L,38.38530612244898,g m-2 y-1
Luquillo,2004,L,40.51297959183674,g m-2 y-1
Luquillo,2005,L,36.28386394557823,g m-2 y-1
Luquillo,2006,L,35.76010884353742,g m-2 y-1
Luquillo,2007,L,35.29447619047619,g m-2 y-1
Luquillo,2008,L,36.85082993197279,g m-2 y-1
Luquillo,2009,L,37.308625850340135,g m-2 y-1
Luquillo,2010,L,35.20696598639456,g m-2 y-1
Luquillo,2011,L,34.738938775510206,g m-2 y-1
Luquillo,2012,L,34.95575510204082,g m-2 y-1
Luquillo,2013,L,35.603700680272105,g m-2 y-1
Luquillo,2014,L,37.818775510204084,g m-2 y-1
Luquillo,2015,L,39.16495238095238,g m-2 y-1
Luquillo,2016,L,37.23102040816326,g m-2 y-1
Luquillo,2017,L,65.23994557823129,g m-2 y-1
Luquillo,2018,L,8.858993197278911,g m-2 y-1
Luquillo,2019,L,25.313632653061227,g m-2 y-1
Luquillo,2003,R,10.100244897959184,g m-2 y-1
Luquillo,2004,R,6.806530612244898,g m-2 y-1
Luquillo,2005,R,9.59717006802721,g m-2 y-1
Luquillo,2006,R,14.321523809523809,g m-2 y-1
Luquillo,2007,R,6.916789115646258,g m-2 y-1
Luquillo,2008,R,16.779537414965986,g m-2 y-1
Luquillo,2009,R,9.167020408163266,g m-2 y-1
Luquillo,2010,R,6.30378231292517,g m-2 y-1
Luquillo,2011,R,3.9146666666666667,g m-2 y-1
Luquillo,2012,R,8.587646258503401,g m-2 y-1
Luquillo,2013,R,12.249360544217687,g m-2 y-1
Luquillo,2014,R,9.436408163265307,g m-2 y-1
Luquillo,2015,R,13.20174149659864,g m-2 y-1
Luquillo,2016,R,11.808108843537415,g m-2 y-1
Luquillo,2017,R,5.011374149659864,g m-2 y-1
Luquillo,2018,R,1.906612244897959,g m-2 y-1
Luquillo,2019,R,3.483646258503401,g m-2 y-1
Luquillo,2003,R/L,0.2631278975798563,-
Luquillo,2004,R/L,0.16800864021407094,-
Luquillo,2005,R/L,0.26450242682041525,-
Luquillo,2006,R/L,0.400488820439147,-
Luquillo,2007,R/L,0.19597370076603304,-
Luquillo,2008,R/L,0.4553367575694028,-
Luquillo,2009,R/L,0.24570780078944376,-
Luquillo,2010,R/L,0.17904929142037446,-
Luquillo,2011,R/L,0.11268814778609115,-
Luquillo,2012,R/L,0.24567188531430206,-
Luquillo,2013,R/L,0.34404739704502174,-
Luquillo,2014,R/L,0.24951649110689,-
Luquillo,2015,R/L,0.33708049401380663,-
Luquillo,2016,R/L,0.31715780857159565,-
Luquillo,2017,R/L,0.07681450536543699,-
Luquillo,2018,R/L,0.21521771181442892,-
Luquillo,2019,R/L,0.1376193731752727,-
Luquillo,NA,R,51,g m-2 yr-1
Luquillo,NA,ANPP,1050,g m-2 yr-1
Luquillo,NA,R/ANPP,0.04857142857142857,NA
