sp,Latin,Genus,Species,Family,speciesID,authority,IDlevel,syn,subsp
ast1al,Astrocaryum alatum,Astrocaryum,alatum,Arecaceae,82,Loomis,species,,NA
ast1st,Astrocaryum standleyanum,Astrocaryum,standleyanum,Arecaceae,83,L.H. Bailey,species,,NA
bactba,Bactris barronis,Bactris,barronis,Arecaceae,89,L.H. Bailey,species,,NA
bactc1,Bactris coloniata,Bactris,coloniata,Arecaceae,90,L. H. Bailey,species,,NA
bactc2,Bactris coloradonis,Bactris,coloradonis,Arecaceae,91,L.H. Bailey,species,,NA
bactm1,Bactris maraja,Bactris,maraja,Arecaceae,94,Mart.,species,,NA
bactma,Bactris major,Bactris,major,Arecaceae,93,Jacq.,species,,NA
bactpa,Bactris panamensis,Bactris,panamensis,Arecaceae,95,de Nevers & Grayum,species,,NA
cal3co,Calyptrogyne costatifrons,Calyptrogyne,costatifrons,Arecaceae,142,(L. H. Bailey) Nevers,species,,NA
cha1te,Chamaedorea tepejilote,Chamaedorea,tepejilote,Arecaceae,1116,Liebm. ex Mart.,species,Chamaedorea wendlandiana,NA
cryowa,Cryosophila warscewiczii,Cryosophila,warscewiczii,Arecaceae,295,(H. Wendl.) Bartlett,species,,NA
elaeol,Elaeis oleifera,Elaeis,oleifera,Arecaceae,337,(H. B. K.) Cortes,species,,NA
eutepr,Euterpe precatoria,Euterpe,precatoria,Arecaceae,373,Mart.,species,,NA
geonco,Geonoma congesta,Geonoma,congesta,Arecaceae,412,H. Wendl. ex Spruce,species,,NA
geoncu,Geonoma cuneata,Geonoma,cuneata,Arecaceae,413,H. Wendl. ex Spruce,species,,NA
geonde,Geonoma deversa,Geonoma,deversa,Arecaceae,414,(Poit.) Kunth.,species,,NA
geonin,Geonoma interrupta,Geonoma,interrupta,Arecaceae,415,(Ruiz & Pav.) Mart.,species,,NA
iriade,Iriartea deltoidea,Iriartea,deltoidea,Arecaceae,534,Ruiz & Pav.,species,,NA
oenoma,Oenocarpus mapora,Oenocarpus,mapora,Arecaceae,1145,H. Karst.,species,Oenocarpus panamanus,NA
presde,Prestoea decurrens,Prestoea,decurrens,Arecaceae,1180,(H. A. Wendl. ex Burret) H.E. Moore,species,Euterpe sp.1,NA
sch1zo,Attalea butyracea,Attalea,butyracea,Arecaceae,1113,(Mutis ex L. f.)Wess. Boer.,species,Scheelea zonensis,NA
socrex,Socratea exorrhiza,Socratea,exorrhiza,Arecaceae,1163,(Mart.) H. Wendl.,species,Socratea durissima,NA
synewa,Synechanthus warscewiczianus,Synechanthus,warscewiczianus,Arecaceae,984,H. Wendl.,species,,NA
welfre,Welfia regia,Welfia,regia,Arecaceae,1087,Mast.,species,,NA
wetthi,Wettinia quinaria,Wettinia,quinaria,Arecaceae,1088,(O.F. Cook & Doyle) Burret,species,,NA
