sp,latin
alclat,Alchornea latifolia
alcflo,Alchorneopsis floribunda
andine,Andira inermis
artalt,Artocarpus altilis
buctet,Buchenavia tetraphylla
byrspi,Byrsonima spicata
byrwad,Byrsonima wadsworthii
calcal,Calophyllum brasiliense
casarb,Casearia arborea
cassyl,Casearia sylvestris
cecsch,Cecropia schreberiana
ceipen,Ceiba pentandra
chidom,Chionanthus domingensis
choven,Chione venosa
cinmon,Cinnamomum montanum
cluclu,Clusia clusioides
cocspp,Coccoloba spp
cocswa,Coccoloba swartzii
corbor,Cordia borinquensis
corsul,Cordia sulcata
cropoe,Croton poecilanthus
cyrrac,Cyrilla racemiflora
dacexc,Dacryodes excelsa
denarb,Dendropanax arboreus
drygla,Drypetes glauca
eugdom,Eugenia domingensis
eugsta,Eugenia stahlii
farocc,Faramea occidentalis
ficame,Ficus americana
ficcit,Ficus citrifolia
ficcra,Ficus crassinervia
ficspp,Ficus spp
fictri,Ficus trigonata
gename,Genipa americana
guagui,Guarea guidonia
gutcar,Guatteria caribaea
guaulm,Guazuma ulmifolia
gueval,Guettarda valenzuelana
henfas,Henriettea fascicularis
calsqu,Henriettea squamulosum
homrac,Homalium racemosum
inglau,Inga laurina
ingver,Inga vera
laepro,Laetia procera
lonlat,Lonchocarpus heptaphyllus
magspl,Magnolia splendens
manind,Mangifera indica
manbid,Manilkara bidentata
marnob,Margaritaria nobilis
matdom,Matayba domingensis
melher,Meliosma herbertii
mictet,Miconia tetrandra
mirgar,Micropholis garciniifolia
mirchr,Micropholis guyanensis
myrdef,Myrcia deflexa
myrspl,Myrcia splendens
ocoglo,Nectandra hihua
ocosin,Nectandra turbacensis
ochpyr,Ochroma pyramidale
ocoflo,Ocotea floribunda
ocoleu,Ocotea leucoxylon
ocomos,Ocotea moschata
ormkru,Ormosia krugii
oxalau,Oxandra laurifolia
pisbor,Pisonia sp. 1 borinquena
plemac,Pleodendron macranthum
premon,Prestoea acuminata
psespu,Pseudolmedia spuria
pteoff,Pterocarpus officinalis
ronpor,Rondeletia portoricensis
roybor,Roystonea borinquena
saplau,Sapium laurocerasus
schmor,Schefflera morototoni
slober,Sloanea berteroana
swimac,Swietenia macrophylla
