sp,cen_interval,tStart,tEnd,tCenInt,Nt0,Nt1,S_t1,M_t1,R_t1,site
alclat,1,1992-09-27,1995-12-21,3.23224043715847,849,514,384,0.0011549737695462983,3.228958925613307e-4,luq
alclat,2,1995-12-21,2001-06-25,5.50958904109589,514,300,132,7.024263119134635e-4,3.089204722551358e-4,luq
alclat,3,2001-06-25,2006-08-14,5.136986301369863,300,103,82,4.1838728136715315e-4,4.030336196656063e-5,luq
alclat,4,2006-08-14,2011-11-09,5.237704918032787,103,35,30,1.3507947660404665e-4,9.252018945482648e-6,luq
alclat,5,2011-11-09,2016-05-20,4.527322404371585,35,16,13,4.298125895016362e-5,5.861080765931403e-6,luq
alcflo,1,1992-09-27,1995-12-21,3.23224043715847,250,201,134,2.7416668747204907e-4,1.5835489707437315e-4,luq
alcflo,2,1995-12-21,2001-06-25,5.50958904109589,201,104,40,3.1907939435591896e-4,1.2683901390545847e-4,luq
alcflo,3,2001-06-25,2006-08-14,5.136986301369863,104,43,33,1.3016173215519138e-4,1.8332638331717095e-5,luq
alcflo,4,2006-08-14,2011-11-09,5.237704918032787,43,10,8,7.380944753169443e-5,4.217682716096824e-6,luq
alcflo,5,2011-11-09,2016-05-20,4.527322404371585,10,13,7,4.7349570734340485e-6,9.469914146868097e-6,luq
andine,1,1992-09-27,1995-12-21,3.23224043715847,50,43,39,2.3121717802030428e-5,8.40789738255652e-6,luq
andine,2,1995-12-21,2001-06-25,5.50958904109589,43,39,32,1.4032698002484266e-5,8.929898728853623e-6,luq
andine,3,2001-06-25,2006-08-14,5.136986301369863,39,35,33,7.799214310879655e-6,2.5997381036265517e-6,luq
andine,4,2006-08-14,2011-11-09,5.237704918032787,35,25,25,1.3610726884768082e-5,0,luq
andine,5,2011-11-09,2016-05-20,4.527322404371585,25,19,19,9.190190203747644e-6,0,luq
artalt,1,1992-09-27,1995-12-21,3.23224043715847,19,18,17,4.0168346928342e-6,2.0084173464171e-6,luq
artalt,2,1995-12-21,2001-06-25,5.50958904109589,18,27,4,2.6876433366830744e-5,4.415414053122194e-5,luq
artalt,3,2001-06-25,2006-08-14,5.136986301369863,27,17,13,2.2379819633926302e-5,6.394234181121801e-6,luq
artalt,4,2006-08-14,2011-11-09,5.237704918032787,17,10,10,1.0236817317000295e-5,0,luq
artalt,5,2011-11-09,2016-05-20,4.527322404371585,10,5,5,8.872422690893438e-6,0,luq
buctet,1,1992-09-27,1995-12-21,3.23224043715847,28,23,17,2.5034296065638495e-5,1.3655070581257361e-5,luq
buctet,2,1995-12-21,2001-06-25,5.50958904109589,23,41,15,1.0730751002899157e-5,3.487494075942226e-5,luq
buctet,3,2001-06-25,2006-08-14,5.136986301369863,41,39,31,1.3573889110015487e-5,1.085911128801239e-5,luq
buctet,4,2006-08-14,2011-11-09,5.237704918032787,39,22,21,2.7171278634211652e-5,1.5095154796784252e-6,luq
buctet,5,2011-11-09,2016-05-20,4.527322404371585,22,17,15,1.1153496144073453e-5,3.186713184020987e-6,luq
byrspi,1,1992-09-27,1995-12-21,3.23224043715847,196,228,151,9.497133036983259e-5,1.6250649863282465e-4,luq
byrspi,2,1995-12-21,2001-06-25,5.50958904109589,228,316,145,1.1238416270423039e-4,2.3153845569184813e-4,luq
byrspi,3,2001-06-25,2006-08-14,5.136986301369863,316,230,207,1.5612197866631526e-4,3.29431698103234e-5,luq
byrspi,4,2006-08-14,2011-11-09,5.237704918032787,230,158,148,1.1604461094995683e-4,1.4151781823165468e-5,luq
byrspi,5,2011-11-09,2016-05-20,4.527322404371585,158,125,117,6.340105337669897e-5,1.2370937244233946e-5,luq
byrwad,1,1992-09-27,1995-12-21,3.23224043715847,11,15,11,0,NaN,luq
byrwad,2,1995-12-21,2001-06-25,5.50958904109589,15,10,9,8.30132313854166e-6,1.38355385642361e-6,luq
byrwad,3,2001-06-25,2006-08-14,5.136986301369863,10,9,8,2.6567917866643086e-6,1.3283958933321543e-6,luq
byrwad,4,2006-08-14,2011-11-09,5.237704918032787,9,7,7,2.635247862472679e-6,0,luq
byrwad,5,2011-11-09,2016-05-20,4.527322404371585,7,4,4,5.08700054944945e-6,0,luq
calcal,1,1992-09-27,1995-12-21,3.23224043715847,6,7,5,2.0567170141554456e-6,4.113434028310891e-6,luq
calcal,2,1995-12-21,2001-06-25,5.50958904109589,7,28,7,0,NaN,luq
calcal,3,2001-06-25,2006-08-14,5.136986301369863,28,36,26,2.506488372405727e-6,1.2532441862028635e-5,luq
calcal,4,2006-08-14,2011-11-09,5.237704918032787,36,34,28,1.0540991449890716e-5,7.905743587418037e-6,luq
calcal,5,2011-11-09,2016-05-20,4.527322404371585,34,31,25,1.3953282230042205e-5,9.302188153361469e-6,luq
casarb,1,1992-09-27,1995-12-21,3.23224043715847,1966,1743,1429,0.0011548609284068557,6.752818091615507e-4,luq
casarb,2,1995-12-21,2001-06-25,5.50958904109589,1743,2343,947,0.0011418556234721996,0.0020025508170442093,luq
casarb,3,2001-06-25,2006-08-14,5.136986301369863,2343,1996,1663,9.453348198623716e-4,4.6293602207966134e-4,luq
casarb,4,2006-08-14,2011-11-09,5.237704918032787,1996,1423,1243,0.0010785484097998624,2.578203370039512e-4,luq
casarb,5,2011-11-09,2016-05-20,4.527322404371585,1423,1139,956,7.480508400364553e-4,2.93133412690945e-4,luq
