FATES_NPP_PF,FATES_RECRUITMENT_PF,FATES_NPLANT_PF,FATES_MORTALITY_PF,FATES_NPATCHES,FATES_NCOHORTS,FATES_VEGC_PF,FATES_SEED_BANK_TRS,FATES_SEEDLING_POOL_TRS,FATES_SEEDS_IN,FATES_SEEDS_IN_LOCAL,date,simYr
-1.7545719543932137e-8,0,0.060513935983181,0.032464269548654556,10,130.00335693359375,34.6806640625,4.3200241634622216e-5,0,3.167203999066004e-11,0,1900-02-01,1
-1.9055992339644945e-8,0,0.05681425705552101,0.05001809075474739,10,130,32.900169372558594,1.2074205733370036e-4,0,3.168339202108683e-11,0,1900-03-01,1
-8.15806622256332e-9,0,0.0537312813103199,0.027475154027342796,10,130,31.40740966796875,1.950706500792876e-4,0,3.16947024181502e-11,0,1900-04-01,1
2.0117015608889233e-8,0,0.05252297595143318,0.0027192512061446905,10,130,30.825944900512695,2.687970409169793e-4,0,3.1708299180754906e-11,0,1900-05-01,1
2.95613293843644e-8,1.3605711865238845e-4,0.0523211732506752,0.0021480207797139883,10,144.25807189941406,30.770280838012695,3.2435101456940174e-4,1.3540619875129778e-5,3.1708847353373315e-11,0,1900-06-01,1
3.121322222909839e-8,7.41402676794678e-4,0.05220414325594902,0.0015928426291793585,10,150,30.75464630126953,2.9097110382281244e-4,9.67528103501536e-5,3.235381754174149e-11,0,1900-07-01,1
3.1991579163559436e-8,0.0011687895748764277,0.052163686603307724,0.0013738245470449328,10,150,30.758705139160156,2.3583241272717714e-4,1.9113149028271437e-4,1.2611393873651622e-10,0,1900-08-01,1
3.153930094867974e-8,0.0015037250705063343,0.052169542759656906,0.0011906943982467055,10,150.80645751953125,30.764047622680664,2.4691413273103535e-4,2.7399687678553164e-4,3.632579792522961e-10,0,1900-09-01,1
3.26635998249003e-8,0.001841663965024054,0.05221610516309738,0.0010379953309893608,10,151,30.76898193359375,3.2235789694823325e-4,3.4525711089372635e-4,5.439598771417309e-10,0,1900-10-01,1
3.330422870817529e-8,0.002392054535448551,0.052309516817331314,9.552326519042253e-4,10,151.51612854003906,30.780227661132812,4.017137980554253e-4,4.5542026055045426e-4,6.627634552280881e-10,0,1900-11-01,1
3.137311210821281e-8,0.0030224269721657038,0.052459124475717545,9.576031588949263e-4,10,152,30.793275833129883,4.490894207265228e-4,6.113415001891553e-4,6.792264528598935e-10,0,1900-12-01,1
3.4422946271206456e-8,0.003931325860321522,0.052665840834379196,9.615232702344656e-4,10,152.22579956054688,30.80343246459961,4.016001184936613e-4,8.503319113515317e-4,7.65653984657888e-10,0,1901-01-01,2
3.508147017328156e-8,0.004942314699292183,0.05296569690108299,9.671897860243917e-4,10,153,30.819116592407227,4.6576804015785456e-4,9.711075108498335e-4,7.534546320187019e-10,0,1901-02-01,2
3.523353697687526e-8,0.0051012490876019,0.05329617112874985,9.735092171467841e-4,10,153,30.83711814880371,6.813573418185115e-4,9.236355544999242e-4,7.587381278817418e-10,0,1901-03-01,2
3.3661198273193804e-8,0.004784326534718275,0.05361771583557129,9.79730044491589e-4,10,157.48387145996094,30.850650787353516,8.782569202594459e-4,8.796813199296594e-4,7.362727094673005e-10,0,1901-04-01,2
3.303338758087193e-8,0.004588634241372347,0.053929008543491364,9.857983095571399e-4,10,160,30.863449096679688,0.0010920085478574038,8.177600684575737e-4,7.136470303592546e-10,0,1901-05-01,2
3.292803896215446e-8,0.0044883606024086475,0.054222118109464645,9.915550472214818e-4,10,160.96774291992188,30.876148223876953,0.0012661380460485816,7.967895944602787e-4,7.425242087855111e-10,0,1901-06-01,2
3.2250060399974245e-8,0.005529833026230335,0.054552700370550156,9.978546295315027e-4,10,162,30.886442184448242,0.0011696970323100686,0.0010350380325689912,7.452345407443772e-10,0,1901-07-01,2
3.1919221044063306e-8,0.0072003561072051525,0.05500106140971184,0.0010061889188364148,10,162,30.896100997924805,9.064734331332147e-4,0.0014135352103039622,7.324190143265241e-10,0,1901-08-01,2
3.339046728001449e-8,0.008303803391754627,0.0555746965110302,0.0010168890003114939,10,162.93548583984375,30.907032012939453,7.231891504488885e-4,0.001693782745860517,7.777161137312305e-10,0,1901-09-01,2
3.125999015196612e-8,0.009237010031938553,0.056228190660476685,0.0010291608050465584,10,163,30.9185733795166,6.364643340930343e-4,0.001857010298408568,7.043627348046755e-10,0,1901-10-01,2
3.1890081686469784e-8,0.009364170022308826,0.05692126601934433,0.0010422524064779282,10,163.64515686035156,30.923995971679688,5.8515346609056e-4,0.0019521639915183187,7.325574591376949e-10,0,1901-11-01,2
3.3900871443393044e-8,0.00962654035538435,0.05763089284300804,0.001055724686011672,10,163.43333435058594,30.937408447265625,6.137503078207374e-4,0.0019961963407695293,8.048221533663025e-10,0,1901-12-01,2
3.404764115089165e-8,0.009578219614923,0.05834050476551056,0.0010692344512790442,10,167.7096710205078,30.950584411621094,6.519234739243984e-4,0.002028321148827672,8.032420284465047e-10,0,1902-01-01,3
3.531830472525144e-8,0.010019171983003616,0.05908280983567238,0.0010833615669980645,10,172.5483856201172,30.966421127319336,7.438527536578476e-4,0.0019962829537689686,7.718968242365065e-10,0,1902-02-01,3
3.442201546022261e-8,0.009974823333323002,0.05980512127280235,0.001097195316106081,10,173,30.983295440673828,9.509381488896906e-4,0.0018326055724173784,7.169203009027569e-10,0,1902-03-01,3
2.8626944370557794e-8,0.008202177472412586,0.060459356755018234,0.0011098722461611032,10,171.6774139404297,30.989177703857422,0.0011547745671123266,0.001629269914701581,5.016623227938055e-10,0,1902-04-01,3
2.4906823270498535e-8,0.006773353088647127,0.0609486848115921,0.0011194371618330479,10,171.6666717529297,30.983814239501953,0.0013146857963874936,0.0014616787666454911,4.004478970642822e-10,0,1902-05-01,3
3.347426869027004e-8,0.0073632774874567986,0.06148134917020798,0.0011298561003059149,10,173.25807189941406,30.98632049560547,0.0014991562347859144,0.0013043913058936596,7.397989443269637e-10,0,1902-06-01,3
3.019951577698521e-8,0.008032434619963169,0.06201119348406792,0.0011401084484532475,10,173.96665954589844,30.99505615234375,0.001389433746226132,0.0014784897211939096,6.724181211836822e-10,0,1902-07-01,3
3.1377890508110795e-8,0.009626317769289017,0.06265194714069366,0.0011520839761942625,10,176.16128540039062,31.000831604003906,0.0010803177719935775,0.0018232532311230898,6.940565344670802e-10,0,1902-08-01,3
3.2295943697135954e-8,0.010496779344975948,0.06342113763093948,0.00116646196693182,10,177.48387145996094,31.00912094116211,9.176972089335322e-4,0.0020080956164747477,7.437914728569694e-10,0,1902-09-01,3
3.0571353448749505e-8,0.011395711451768875,0.0642368420958519,0.001181763014756143,10,181.06666564941406,31.016347885131836,7.253452204167843e-4,0.0022095113527029753,6.779766192899217e-10,0,1902-10-01,3
3.104004875353894e-8,0.011676415801048279,0.06506712734699249,0.001197401201352477,10,181.4516143798828,31.02155113220215,6.446329643949866e-4,0.0022806727793067694,7.045368177749367e-10,0,1902-11-01,3
3.3181851932795325e-8,0.011240827850997448,0.0658794492483139,0.0012127836234867573,10,180.23333740234375,31.030292510986328,6.175543530844152e-4,0.002320011844858527,7.882067221132161e-10,0,1902-12-01,3
3.316107921591538e-8,0.011227362789213657,0.06667386740446091,0.0012278379872441292,10,179.64515686035156,31.041601181030273,5.377877387218177e-4,0.0024297842755913734,7.891116093894368e-10,0,1903-01-01,4
3.4205672960752054e-8,0.011492574587464333,0.06748853623867035,0.0012432787334546447,10,181.09677124023438,31.05550193786621,6.315140635706484e-4,0.002367106033489108,8.023884334740217e-10,0,1903-02-01,4
3.4540860838205845e-8,0.01124714594334364,0.06826870888471603,0.0012581782648339868,10,181.75,31.0701904296875,8.407633285969496e-4,0.002188750309869647,8.065938472689993e-10,0,1903-03-01,4
3.448619523283014e-8,0.011269442737102509,0.06903773546218872,0.0012729424051940441,10,185.22579956054688,31.084579467773438,0.0010632615303620696,0.001990128308534622,7.880938679427629e-10,0,1903-04-01,4
2.9900768083734874e-8,0.010169625282287598,0.06979835033416748,0.0012876838445663452,10,185.6999969482422,31.092771530151367,0.0012998763704672456,0.0017481852555647492,6.136642305420992e-10,0,1903-05-01,4
3.180491603416158e-8,0.008445041254162788,0.07043971121311188,0.0013002536725252867,10,186.4516143798828,31.09780502319336,0.001504851970821619,0.001561574055813253,7.453170303151069e-10,0,1903-06-01,4
3.189208541698463e-8,0.009422456845641136,0.07101953774690628,0.001311392756178975,10,185.8000030517578,31.107288360595703,0.00140929757617414,0.0017085832078009844,7.271107604900351e-10,0,1903-07-01,4
3.3062192983379646e-8,0.010341500863432884,0.07173612713813782,0.0013248126488178968,10,187.64515686035156,31.11649513244629,0.0012934206752106547,0.0018458644626662135,7.834634052628076e-10,0,1903-08-01,4
3.0713881216115624e-8,0.010677625425159931,0.07248884439468384,0.0013389050727710128,10,188,31.125741958618164,0.001234204275533557,0.0019225452560931444,6.912791450375266e-10,0,1903-09-01,4
2.983659896926838e-8,0.011283248662948608,0.07325998693704605,0.0013533025048673153,10,188,31.128772735595703,0.0010026759700849652,0.002141221659258008,6.589681023072558e-10,0,1903-10-01,4
2.9569843462695644e-8,0.012769402004778385,0.07414130121469498,0.0013697044923901558,10,188.38710021972656,31.130970001220703,7.211838965304196e-4,0.0023844875395298004,6.515926687100659e-10,0,1903-11-01,4
2.9327287265346058e-8,0.01228332333266735,0.07506605237722397,0.0013870741240680218,10,189.53334045410156,31.133541107177734,6.151709239929914e-4,0.0024531546514481306,6.63659738275868e-10,0,1903-12-01,4
